,state,date,count
71,DC,2020-09-01,1
72,DC,2021-01-01,1
73,DE,2020-01-01,1
74,DE,2020-12-01,1
75,DE,2021-01-01,1
76,FL,2020-01-01,8
77,FL,2020-02-01,9
78,FL,2020-03-01,10
79,FL,2020-04-01,6
80,FL,2020-05-01,13
81,FL,2020-06-01,4
82,FL,2020-07-01,6
83,FL,2020-08-01,11
84,FL,2020-09-01,3
85,FL,2020-10-01,11
86,FL,2020-11-01,12
87,FL,2020-12-01,5
88,FL,2021-01-01,2
89,FL,2021-02-01,2
90,GA,2020-01-01,5
91,GA,2020-02-01,2
92,GA,2020-03-01,2
93,GA,2020-04-01,4
94,GA,2020-05-01,4
95,GA,2020-06-01,4
96,GA,2020-07-01,3
97,GA,2020-08-01,4
98,GA,2020-09-01,6
99,GA,2020-10-01,2
100,GA,2020-11-01,3
101,GA,2020-12-01,5
102,HI,2020-01-01,1
103,HI,2020-06-01,1
104,HI,2020-12-01,1
105,IA,2020-03-01,1
106,IA,2020-04-01,1
107,IA,2020-06-01,1
108,IA,2020-08-01,1
109,IA,2020-09-01,3
110,IA,2021-02-01,1
111,ID,2020-02-01,2
112,ID,2020-03-01,1
113,ID,2020-06-01,1
114,ID,2020-08-01,2
115,ID,2020-12-01,3
116,ID,2021-02-01,4
117,IL,2020-01-01,2
118,IL,2020-02-01,1
119,IL,2020-04-01,1
120,IL,2020-06-01,1
121,IL,2020-07-01,1
122,IL,2020-08-01,1
123,IL,2020-09-01,2
124,IL,2020-10-01,3
125,IL,2020-11-01,1
126,IL,2020-12-01,1
127,IL,2021-01-01,1
128,IL,2021-02-01,1
129,IN,2020-01-01,2
130,IN,2020-02-01,1
131,IN,2020-03-01,2
132,IN,2020-04-01,2
133,IN,2020-05-01,4
134,IN,2020-06-01,3
135,IN,2020-07-01,3
136,IN,2020-10-01,3
137,IN,2020-11-01,4
138,IN,2020-12-01,4
139,IN,2021-01-01,4
140,KS,2020-02-01,1
141,KS,2020-05-01,1
142,KS,2020-06-01,1
143,KS,2020-09-01,1
144,KS,2020-10-01,1
145,KS,2020-12-01,2
146,KS,2021-01-01,1
147,KY,2020-01-01,1
148,KY,2020-03-01,4
149,KY,2020-04-01,2
150,KY,2020-05-01,1
151,KY,2020-06-01,3
152,KY,2020-07-01,1
153,KY,2020-08-01,2
