,county,state,min_confirmed_count,min_death_count,min_recovered_count,max_confirmed_count,max_death_count,max_recovered_count,median_confirmed_count,median_death_count,median_recovered_count,mean_confirmed_count,mean_death_count,mean_recovered_count,sum_confirmed_count,sum_death_count,sum_recovered_count,total_population,number_of_men,number_of_women,race_hispanic,race_white,race_black,race_native,race_asian,pacific,voting_age_citizens,census_income_average,census_income_margin,census_income_per_capita,census_income_per_capita_margin,census_poverty,census_child_poverty,professional_job_percentage,service_job_percentage,office_job_percentage,construction_job_percentage,production_job_percentage,commute_drive_percentage,commute_carpool_percentage,commute_transit_percentage,commute_walk_percentage,commute_other_percentage,commute_noneed_percentage,number_of_employed_people,employment_private_percentage,employment_public_percentage,employment_self_percentage,employment_family_percentage,unemployment_percentage,icu_beds,Total Population,Population Aged 60+,Percent of Population Aged 60+,Residents Aged 60+ Per Each ICU Bed,diversity_index,diversity_black_race,diversity_native_race,diversity_asian_race,diversity_pacific_race,diversity_two_or_more_races,diversity_hispanic_race,diversity_white_race,democrat,republican,other,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,mortality_rate,min_mortality_rate,max_mortality_rate,change_in_mortality_rate,min_change_in_mortality_rate,max_change_in_mortality_rate
2796,Rich,UT,,,,,,,,,,,,,,,,2307.0,1114.0,1193.0,8.9,88.9,0.1,0.0,0.0,0.0,1540.0,52917.0,11088.0,19512.0,2746.0,18.0,20.5,29.2,11.9,23.7,25.9,9.2,70.3,10.5,0.0,6.3,3.6,9.4,671.0,79.9,14.5,5.7,0.0,1.8,0.0,2307.0,491.0,21.3,0.0,0.114355,0.0,0.6,0.3,0.0,0.8,4.4,94.0,104.0,797.0,208.0,2664700942.0,149106532.0,1028.847,57.57,30.815714285714286,26.363333333333333,36.03476190476191,3.9780952380952392,-25.55666666666667,49.92333333333334
2797,Richardson,NE,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8045.0,4036.0,4009.0,1.9,92.5,0.2,1.8,0.2,0.0,6339.0,46839.0,4134.0,28109.0,1757.0,16.3,29.1,33.5,16.8,16.1,15.1,18.5,83.2,9.8,0.0,1.8,1.0,4.3,3954.0,72.5,17.8,9.6,0.1,4.0,0.0,8045.0,2480.0,30.8,0.0,0.140654,0.3,3.4,0.4,0.0,2.0,1.7,92.6,818.0,2769.0,218.0,1429258642.0,7077617.0,551.84,2.733,41.693809523809534,37.689523809523806,46.079523809523806,6.084761904761907,-22.823809523809526,51.34238095238096
2798,Richland,IL,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,15953.0,7919.0,8034.0,1.7,95.6,0.4,0.3,0.7,0.0,12282.0,46454.0,3015.0,25262.0,1307.0,15.0,20.0,28.6,16.8,21.0,10.4,23.2,82.6,11.8,0.4,1.7,0.9,2.6,7229.0,81.0,12.6,6.3,0.1,6.3,8.0,15953.0,4167.0,26.1,521.0,0.079862,0.6,0.2,1.1,0.0,1.0,1.4,95.9,1584.0,5739.0,361.0,932444608.0,4863725.0,360.019,1.8780000000000001,40.523809523809526,36.798571428571435,44.590476190476195,23.12190476190476,-6.956666666666667,70.95380952380954
2799,Richland,LA,1.0,0.0,0.0,8.0,1.0,0.0,2.0,0.0,0.0,2.717948717948718,0.02564102564102564,0.0,106.0,1.0,0.0,20619.0,10028.0,10591.0,2.1,60.5,35.8,0.0,0.5,0.0,15572.0,34745.0,4692.0,19975.0,1127.0,28.2,43.4,24.8,24.6,23.5,14.5,12.7,87.9,8.7,0.2,0.9,1.2,1.0,8098.0,81.0,15.8,3.1,0.1,7.0,2.0,20619.0,4470.0,21.7,2235.0,0.499691,35.9,0.4,0.3,0.0,0.9,2.1,60.9,3157.0,6287.0,153.0,,,,,51.390952380952385,47.00523809523809,56.083333333333336,24.058095238095238,-7.123333333333333,71.50952380952381
2800,Richland,MT,1.0,0.0,0.0,2.0,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,3.0,0.0,0.0,11405.0,5795.0,5610.0,5.2,89.4,0.0,3.6,0.5,0.0,8388.0,66572.0,3801.0,33709.0,2928.0,5.9,3.7,28.2,13.4,23.3,21.7,13.4,78.8,10.4,0.2,5.0,1.4,4.2,6013.0,79.9,11.5,8.5,0.1,2.6,0.0,11405.0,2372.0,20.8,0.0,0.170709,0.5,1.8,0.4,0.0,2.3,4.6,90.9,671.0,3908.0,292.0,5398317072.0,49588405.0,2084.302,19.146,41.997142857142855,37.46666666666667,47.01904761904762,10.621904761904759,-20.03333333333334,58.18142857142857
2801,Richland,ND,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,16333.0,8434.0,7899.0,2.7,91.9,0.5,2.6,0.4,0.0,12742.0,60551.0,3224.0,29818.0,1157.0,9.7,9.9,33.9,16.4,17.2,12.6,19.9,77.7,10.8,0.0,4.2,1.7,5.6,8842.0,77.8,12.5,9.5,0.3,2.4,0.0,16333.0,3866.0,23.7,0.0,0.140984,0.8,2.5,0.7,0.1,1.5,2.4,92.6,2064.0,4767.0,761.0,3718649862.0,25035912.0,1435.779,9.666,32.35142857142858,29.321428571428573,35.63428571428571,-3.199523809523807,-27.624761904761904,33.64809523809523
2802,Richland,OH,0.0,0.0,0.0,10.0,1.0,56.0,3.0,0.0,0.0,3.604651162790698,0.046511627906976744,1.627906976744186,155.0,2.0,70.0,121533.0,61682.0,59851.0,1.8,85.8,7.7,0.1,0.8,0.0,94439.0,44138.0,1267.0,23439.0,586.0,15.6,22.5,27.9,19.4,23.6,8.0,21.2,83.5,9.6,1.2,1.7,1.0,3.1,50232.0,81.6,12.7,5.6,0.1,7.5,37.0,121533.0,30674.0,25.2,829.0,0.242608,9.2,0.2,0.7,0.0,1.9,1.7,86.5,16085.0,36590.0,2539.0,1282720855.0,12470884.0,495.26099999999997,4.815,41.870000000000005,39.04142857142857,44.80190476190476,43.5095238095238,10.476190476190478,98.61238095238093
2803,Richland,SC,1.0,0.0,0.0,56.0,9.0,0.0,18.0,0.0,0.0,20.0327868852459,0.9836065573770492,0.0,1222.0,60.0,0.0,404869.0,196424.0,208445.0,5.0,43.3,46.2,0.1,2.7,0.1,305703.0,52082.0,875.0,28018.0,426.0,16.7,22.5,38.9,18.9,26.5,5.5,10.3,78.0,7.3,1.1,8.0,2.4,3.2,191869.0,74.0,21.5,4.5,0.1,7.7,211.0,404869.0,68651.0,17.0,325.0,0.5802470000000001,46.8,0.4,2.6,0.1,2.0,5.0,44.4,108000.0,52469.0,8253.0,1961023568.0,37825224.0,757.155,14.604000000000001,41.266190476190474,38.73238095238095,43.87000000000001,-11.091904761904763,-27.329523809523806,13.967619047619042
2804,Richland,WI,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.9333333333333333,0.2,0.0,14.0,3.0,0.0,17626.0,8897.0,8729.0,2.2,95.2,0.7,0.3,0.5,0.0,13549.0,48234.0,2146.0,24941.0,793.0,13.6,19.3,28.0,16.1,20.1,13.1,22.8,80.5,8.2,0.6,3.4,1.4,5.8,8418.0,78.5,11.7,9.7,0.1,3.5,4.0,17626.0,5148.0,29.2,1287.0,0.08923099999999999,0.6,0.4,0.6,0.0,0.9,2.2,95.4,3577.0,4023.0,455.0,1518121192.0,8153427.0,586.15,3.148,33.46333333333333,30.409047619047616,36.76952380952381,-6.390952380952381,-30.52333333333334,31.217142857142854
2805,Richland Parish,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1448537069.0,13551678.0,559.283,5.232,,,,,,
