"COVID-19-Associated Hospitalization Rates (per 100,000 population) for the COVID-NET Network (downloaded on "May-13-2020)
Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Utah,IHSP,2020,2020,19,65+ yr,null,null
Utah,IHSP,2020,2020,20,65+ yr,null,null
Utah,IHSP,2020,2020,21,65+ yr,null,null
Utah,IHSP,2020,2020,22,65+ yr,null,null
Utah,IHSP,2020,2020,23,65+ yr,null,null
Utah,IHSP,2020,2020,24,65+ yr,null,null
Utah,IHSP,2020,2020,25,65+ yr,null,null
Utah,IHSP,2020,2020,26,65+ yr,null,null
Utah,IHSP,2020,2020,27,65+ yr,null,null
Utah,IHSP,2020,2020,28,65+ yr,null,null
Utah,IHSP,2020,2020,29,65+ yr,null,null
Utah,IHSP,2020,2020,30,65+ yr,null,null
Utah,IHSP,2020,2020,31,65+ yr,null,null
Utah,IHSP,2020,2020,32,65+ yr,null,null
Utah,IHSP,2020,2020,33,65+ yr,null,null
Utah,IHSP,2020,2020,34,65+ yr,null,null
Utah,IHSP,2020,2020,35,65+ yr,null,null
Utah,IHSP,2020,2020,36,65+ yr,null,null
Utah,IHSP,2020,2020,37,65+ yr,null,null
Utah,IHSP,2020,2020,38,65+ yr,null,null
Utah,IHSP,2020,2020,39,65+ yr,null,null
Utah,IHSP,2020,2020,10,Overall,0,0
Utah,IHSP,2020,2020,11,Overall,0.2,0.2
Utah,IHSP,2020,2020,12,Overall,1.2,1
Utah,IHSP,2020,2020,13,Overall,3.3,2.1
Utah,IHSP,2020,2020,14,Overall,5.7,2.4
Utah,IHSP,2020,2020,15,Overall,8.8,3
Utah,IHSP,2020,2020,16,Overall,12.5,3.7
Utah,IHSP,2020,2020,17,Overall,17.4,4.9
Utah,IHSP,2020,2020,18,Overall,21.4,4
Utah,IHSP,2020,2020,19,Overall,null,null
Utah,IHSP,2020,2020,20,Overall,null,null
Utah,IHSP,2020,2020,21,Overall,null,null
Utah,IHSP,2020,2020,22,Overall,null,null
Utah,IHSP,2020,2020,23,Overall,null,null
Utah,IHSP,2020,2020,24,Overall,null,null
Utah,IHSP,2020,2020,25,Overall,null,null
Utah,IHSP,2020,2020,26,Overall,null,null
Utah,IHSP,2020,2020,27,Overall,null,null
Utah,IHSP,2020,2020,28,Overall,null,null
Utah,IHSP,2020,2020,29,Overall,null,null
Utah,IHSP,2020,2020,30,Overall,null,null
Utah,IHSP,2020,2020,31,Overall,null,null
Utah,IHSP,2020,2020,32,Overall,null,null
Utah,IHSP,2020,2020,33,Overall,null,null
Utah,IHSP,2020,2020,34,Overall,null,null
Utah,IHSP,2020,2020,35,Overall,null,null
Utah,IHSP,2020,2020,36,Overall,null,null
Utah,IHSP,2020,2020,37,Overall,null,null
Utah,IHSP,2020,2020,38,Overall,null,null
Utah,IHSP,2020,2020,39,Overall,null,null
Utah,IHSP,2020,2020,10,65-74 yr,0,0
Utah,IHSP,2020,2020,11,65-74 yr,0,0
Utah,IHSP,2020,2020,12,65-74 yr,3.9,3.9
Utah,IHSP,2020,2020,13,65-74 yr,9.2,5.2
Utah,IHSP,2020,2020,14,65-74 yr,10.5,1.3
Utah,IHSP,2020,2020,15,65-74 yr,15.7,5.2
Utah,IHSP,2020,2020,16,65-74 yr,19.6,3.9
Utah,IHSP,2020,2020,17,65-74 yr,32.7,13.1
Utah,IHSP,2020,2020,18,65-74 yr,48.4,15.7
